chromosome	start	end
1	680000	2600000
1	2680000	6040000
1	6520000	7680000
1	7680000	8400000
1	8400000	8960000
1	9160000	9560000
1	9640000	10520000
1	10560000	11040000
1	11080000	12840000
1	13480000	15800000
1	15840000	17240000
1	17400000	19200000
1	19200000	20040000
1	20200000	20840000
1	20960000	21520000
1	21560000	22320000
1	22440000	23280000
1	23280000	23600000
1	23800000	24000000
1	24080000	24960000
1	24960000	25560000
1	25640000	26160000
1	26160000	26760000
1	26800000	27240000
1	27280000	29560000
1	29560000	31160000
1	31160000	31400000
1	31640000	32920000
1	32960000	33960000
1	33960000	35240000
1	35320000	36280000
1	36560000	36920000
1	36920000	37920000
1	37920000	39320000
1	39480000	40240000
1	40280000	40920000
1	41000000	41480000
1	41720000	43640000
1	43640000	43920000
1	44000000	45160000
1	45160000	46040000
1	46480000	46840000
1	46840000	47200000
1	47320000	48200000
1	48960000	50840000
1	51160000	51680000
1	51720000	52280000
1	52280000	53680000
1	53680000	54200000
1	54280000	55360000
1	55480000	57200000
1	57200000	58840000
1	58960000	60400000
1	60400000	62480000
1	62640000	63240000
1	63320000	63760000
1	64000000	64720000
1	64720000	66240000
1	66360000	66960000
1	67200000	68000000
1	68000000	68280000
1	68360000	68880000
1	69040000	70400000
1	70560000	71560000
1	73800000	75480000
1	75680000	78600000
1	78640000	79200000
1	79840000	84320000
1	84360000	85760000
1	85760000	86240000
1	86800000	89120000
1	89360000	90520000
1	90520000	91720000
1	91720000	93240000
1	93280000	94360000
1	94400000	94920000
1	94960000	95720000
1	95760000	98960000
1	99200000	100160000
1	100200000	101360000
1	101360000	101960000
1	102080000	104160000
1	104360000	107560000
1	108280000	108760000
1	109000000	110560000
1	110560000	111040000
1	111040000	111360000
1	111640000	112000000
1	112000000	112840000
1	113240000	113640000
1	113680000	114240000
1	114320000	115360000
1	115440000	116560000
1	116640000	117080000
1	117120000	117680000
1	118040000	118520000
1	118560000	121520000
1	142520000	143520000
1	143720000	145320000
1	145360000	145840000
1	146120000	147840000
1	148840000	149760000
1	149760000	151240000
1	151440000	152000000
1	152040000	152440000
1	152480000	153440000
1	153480000	155160000
1	155160000	156600000
1	157040000	160000000
1	160000000	161720000
