chromosome	start	end
1	120740000	121360000
1	104330000	106930000
1	101950000	104140000
1	101960000	103790000
1	152470000	153270000
1	68970000	70250000
1	49390000	50790000
1	152610000	153230000
1	242190000	243180000
1	118520000	119520000
1	226710000	227110000
1	228940000	229290000
1	48530000	49290000
1	170060000	170900000
1	205730000	205930000
1	76630000	77340000
1	218460000	220010000
1	93480000	94350000
1	76600000	77600000
1	60630000	61270000
1	57290000	58590000
1	64230000	64630000
1	168580000	169350000
1	99190000	100220000
1	221630000	222470000
1	21540000	21700000
1	151270000	151700000
1	114500000	115250000
1	165990000	166760000
1	84350000	85260000
1	86840000	87570000
1	217970000	218330000
1	218470000	219860000
1	228310000	228620000
1	101470000	101760000
1	20830000	21000000
1	192430000	192590000
1	91040000	91640000
1	109070000	109220000
1	213560000	214110000
1	147190000	147350000
1	208520000	209360000
1	216920000	217940000
1	144910000	145110000
1	197470000	198680000
1	9670000	10420000
1	2120000	2330000
1	150280000	150980000
1	149840000	150210000
1	199660000	200510000
1	120490000	120700000
1	24970000	25180000
1	76320000	77600000
1	27270000	28050000
1	212630000	213210000
1	34100000	35220000
1	16390000	16740000
1	24080000	24250000
1	92420000	93150000
1	8940000	9650000
1	20210000	20830000
1	179340000	179660000
1	19260000	19420000
1	201830000	201960000
1	145430000	145600000
1	245230000	246670000
1	158180000	159060000
1	201960000	202120000
1	196070000	196680000
1	234620000	235200000
1	165130000	165570000
1	227660000	228270000
1	161140000	161370000
1	39550000	40040000
1	235370000	235630000
1	202120000	202980000
1	145120000	145310000
1	31190000	31410000
1	47850000	48410000
1	153760000	153960000
1	234860000	235190000
1	66710000	67200000
1	223930000	224260000
1	229770000	230450000
1	151850000	152010000
1	110670000	111050000
1	110080000	110320000
1	213290000	214360000
1	90260000	90470000
1	6050000	6540000
1	201820000	202120000
1	55570000	57190000
1	235660000	236220000
1	153970000	154130000
1	233500000	234210000
1	241680000	242170000
1	87590000	88590000
1	94370000	94870000
1	228780000	229640000
1	17380000	17730000
1	25560000	26150000
1	63280000	64010000
1	12160000	12300000
1	165600000	165900000
1	108330000	108680000
1	217940000	218450000
1	222630000	222840000
1	176850000	177920000
1	14380000	15060000
1	6740000	7720000
1	85560000	85730000
1	202130000	202310000
1	214360000	214510000
1	210010000	210520000
1	210580000	211420000
1	920000	1240000
1	15440000	15620000
1	207260000	207620000
1	152020000	152450000
1	240180000	240350000
1	237070000	237630000
1	243280000	243500000
1	112340000	112890000
1	243500000	244480000
1	231460000	231750000
1	58960000	59160000
1	67210000	67660000
1	110320000	110560000
1	244620000	245230000
1	169860000	170910000
1	48550000	49030000
1	95280000	95520000
1	189400000	190400000
1	204120000	204360000
1	215830000	216910000
1	93730000	94350000
1	225140000	225580000
1	153480000	153630000
1	46050000	46720000
1	93310000	93480000
1	27370000	27640000
1	33750000	33940000
1	200840000	201390000
1	240160000	240880000
1	214510000	214800000
1	170930000	171280000
1	201490000	201800000
1	90530000	91020000
1	245260000	246170000
1	240890000	241670000
1	212640000	212790000
1	53720000	54300000
1	152020000	152170000
1	44540000	45150000
1	241680000	242050000
1	230760000	231380000
1	223940000	224120000
1	78410000	78590000
1	200550000	200830000
1	229390000	229640000
1	180210000	180460000
1	153470000	153750000
1	206640000	206860000
1	19660000	19990000
1	67990000	68230000
1	169370000	169800000
1	79960000	80660000
1	41480000	41950000
1	179360000	179800000
1	53280000	53700000
1	39310000	39540000
1	12350000	12720000
1	218510000	218700000
1	16110000	16340000
1	22420000	22990000
1	32100000	32540000
1	1850000	2100000
1	225640000	226180000
1	23000000	23250000
1	89420000	89920000
1	46480000	46710000
1	228310000	228720000
1	182830000	183600000
1	66710000	66930000
1	182490000	182800000
1	28150000	28560000
1	161740000	162010000
1	231840000	232770000
1	16390000	16560000
1	197900000	198680000
1	51800000	52270000
1	247060000	247530000
1	212220000	212590000
1	94080000	94320000
1	68580000	68850000
1	100240000	100920000
1	214810000	215730000
1	71020000	71510000
1	192430000	193030000
1	109790000	109960000
1	101370000	101510000
1	36550000	36770000
1	26810000	27220000
1	46840000	47200000
1	39560000	39740000
1	45790000	46050000
1	97420000	98320000
1	32110000	32260000
1	221630000	222640000
1	41290000	41450000
1	28370000	28560000
1	171560000	171960000
1	234230000	234500000
1	29090000	29550000
1	38500000	39300000
1	235960000	236190000
1	59170000	60250000
1	67680000	67980000
1	113670000	114240000
1	44190000	44430000
1	184760000	184950000
1	47230000	47620000
1	85750000	86050000
1	162470000	162780000
1	180850000	181140000
1	220450000	220960000
1	240350000	240870000
1	116670000	117060000
1	109620000	110030000
1	201500000	201680000
1	15440000	15850000
1	230200000	230410000
1	120280000	120700000
1	111990000	112320000
1	157150000	157510000
1	53710000	53920000
1	208180000	208430000
1	9330000	9550000
1	246660000	246940000
1	62900000	63250000
1	94350000	94500000
1	85410000	85730000
1	115670000	116140000
