chromosome	start	end
5	142009565	142109565
5	159437007	159777007
5	159507007	159817007
5	159517007	159757007
5	95185704	95665704
5	95195704	95285704
5	135275689	135425689
5	135285689	135535688
5	17240109	17410109
5	139449585	139539585
5	118635695	118745695
5	53555830	53725830
5	53545830	53765830
5	171917004	172097003
5	171537004	171717004
5	130915693	131355693
5	138195689	138285689
5	36250102	36700102
5	14730109	14880109
5	14720109	15020109
5	56185827	56545827
5	153439560	153789560
5	153449560	153569560
5	158187008	158317008
5	158187008	158447008
5	149019563	149209563
5	138325689	138415689
5	172157003	172347003
5	14150109	14270109
5	173037003	173427003
5	173057003	173367003
5	34510105	34700105
5	88015817	88185817
5	141529565	141799565
5	141529565	141859565
5	141529565	141699565
5	141569565	141979565
5	141509565	141739565
5	10440112	10610112
5	10440112	10680112
5	174967003	175127003
5	77825823	78265823
5	172397003	172657003
5	141359565	141529565
5	66295828	66395828
5	32220106	32330106
5	158297008	158497008
5	78835823	79155823
5	148759563	148939563
5	148629563	148739563
5	148699563	148789563
5	55565827	56145827
5	55565827	55785827
5	55615827	55765827
5	55635827	55925827
5	55625827	55885827
5	55595827	55885827
5	54225828	54435828
5	34660105	34780105
5	34650105	34800105
5	60785827	60915827
5	58485826	58655826
5	149499563	149729563
5	6640113	6750113
5	118325695	118745695
5	140789567	140929567
5	148089563	148389563
5	137525689	137745689
5	55955827	56135827
5	55285828	55425827
5	14360109	14650109
5	10360112	10620112
5	10350112	10780112
5	75695825	75845825
5	141049567	141549565
5	141069567	141349565
5	141079567	141289565
5	135205689	135435689
5	158157008	158317008
5	158117008	158307008
5	158117008	158547008
5	55785827	56115827
5	55755827	56055827
5	55815827	56075827
5	55775827	55935827
5	55775827	55865827
5	146029563	146359563
5	177717001	178017001
5	177677001	177917001
5	148519563	148609563
5	173187003	173337003
5	138745689	138889585
5	79385823	79575819
5	149179563	149379563
5	58175827	58445827
5	10710112	10810112
5	77735824	77845823
5	67575828	67755827
5	67565828	67975827
5	123975693	124095693
5	94985704	95185704
5	94975704	95305704
5	142559565	142779565
5	142119565	142269565
5	52085834	52205830
5	96115704	96275704
5	96095704	96215704
5	139179585	139349585
5	131725692	131905692
5	131715692	131845692
5	71685827	71795827
5	174077003	174177003
5	153559560	153789560
5	153569560	153659560
5	13980109	14270109
5	55225828	55545827
5	90395817	90685817
5	157597008	157857008
5	157587008	158547008
5	16780109	17200109
5	148809563	148949563
5	141689565	141869565
5	126175692	126355692
5	133725691	133925690
5	133735691	133865690
5	53835830	54025828
5	53805830	54165828
5	53855830	54175828
5	90495817	90625817
5	90505817	90685817
5	55855827	56135827
5	55895827	56115827
5	55865827	55955827
5	55885827	56005827
5	96195703	96295704
5	42940102	43040102
5	34490105	34900105
5	40750102	40870102
5	172407003	172507003
5	6130113	6230113
5	55915827	56005827
5	178587001	178927001
5	179317000	179417000
5	171517004	171657004
5	4430113	4520113
5	79645819	79735819
5	175847001	175987001
5	156967008	157057008
5	96185703	96505704
5	39170102	39290102
5	72885825	73085825
5	6270113	6370113
5	35770102	35860102
5	141379565	141489565
5	145069563	145199563
5	88025817	88565817
5	180347000	180447000
5	169677004	169767004
5	145249563	145349563
5	125685692	125875692
5	30820107	30910107
5	14180109	14270109
5	136965689	137085689
5	166387005	166477005
5	10310112	10420112
5	156977008	157097008
5	102195704	102355704
5	1390115	1560115
5	58165827	58295827
5	168377005	168467005
5	124085693	124335693
5	45960102	46070102
5	29930107	30040107
5	53815830	53915830
5	180197000	180287000
5	139759585	139929585
5	156607011	156707010
5	60615827	60735827
5	36400102	36490102
5	75905825	76115825
5	36710102	36890102
5	168147005	168307005
5	118595695	118685695
5	90575817	90675817
5	55625827	55715827
5	31590107	31690107
5	6630113	6720113
5	38650102	38740102
5	65595828	66055828
5	38980102	39140102
5	2400114	2490114
5	171527004	171627004
5	171507004	171597004
5	130565693	130745693
5	7500113	7590113
5	179377000	179487000
5	150259562	150349562
5	169517004	169607004
5	134805690	134895690
5	139929585	140029585
5	123755693	123925693
5	158577008	158757008
5	176737001	176877001
5	169647004	169847004
5	172427003	172557003
5	156897008	157057008
5	80725819	81515819
5	138999585	139149585
5	157647008	157967008
5	150529561	150619561
5	159637007	159777007
5	14480109	14660109
5	89745817	89835817
5	119215695	119305695
5	158607008	158697008
5	150409561	150509561
5	157247008	157377008
5	95325704	95505704
5	95105704	95195704
5	139939585	140069585
5	63075827	63165827
5	139239585	139329585
5	141659565	141859565
5	149229563	149369563
5	73375825	73565825
5	14770109	14870109
5	139349585	139529585
5	153679560	153789560
5	52235830	52385830
5	133565691	133935690
5	177707001	177997001
5	138165689	138515689
5	8560112	8680112
5	149849563	150079562
5	95685704	95945704
5	17210109	17320109
5	165587005	165717005
5	75685825	75885825
5	61775827	61895827
5	56885827	56975827
5	27720107	27840107
5	150889561	151019561
5	46140102	46230102
5	169887004	169977004
5	172207003	172347003
5	9350112	9440112
5	36600102	36690102
5	78175823	78275823
5	43070102	43320102
5	116095696	116185696
5	173147003	173247003
5	71425827	71605827
5	165387005	165487005
5	111875697	112075697
5	106805701	106895701
5	16910109	17070109
5	31690107	31800107
5	75895825	76005825
5	173067003	173197003
5	153559560	153699560
5	102555701	102805701
5	158227008	158487008
5	125395693	125485693
5	173967003	174067003
5	109275701	109425701
5	171587004	171697004
5	157737008	157837008
5	128165693	128275693
5	34550105	34780105
5	60705827	60915827
5	96285704	96385704
5	15100109	15190109
5	142899565	143209565
5	132265692	132395692
5	157687008	157967008
5	10240112	10440112
5	127235692	127325692
5	34540105	34630105
5	177697001	177797001
5	150069562	150169562
5	157757008	157907008
5	96195703	96365704
5	9550112	9640112
5	51185834	51275834
5	55275828	55365827
5	16480109	16570109
5	148109563	148209563
5	134695690	134785690
5	78965823	79135823
5	14500109	14590109
5	75595825	75725825
5	6340113	6430113
5	114275697	114365697
5	162067006	162207006
5	53915830	54055828
5	102095704	102455704
5	173257003	173347003
5	172147003	172417003
5	118505695	118675695
5	4010114	4100113
5	140689567	140939567
5	151019561	151109561
5	10240112	10390112
5	111365697	111455697
5	73325825	73445825
5	154469560	154619560
5	61265827	61355827
5	149039563	149199563
5	142409565	142559565
5	164547006	164637006
5	39410102	39520102
5	124665693	124755693
5	78085823	78185823
5	17710109	17810109
5	146829563	146949563
5	111885697	112195697
5	67445828	67565828
5	96095704	96185703
5	9650112	9790112
5	71415827	71515827
5	60355827	60855827
5	59265827	59385827
5	68145827	68235827
5	2470114	2560114
5	3860114	4010114
5	3090114	3180114
5	60505827	60595827
5	67515828	67765827
5	14420109	14590109
5	60645827	60935827
5	157457008	157637008
5	158227008	158317008
5	95075704	95175704
5	126285692	126375692
5	81635819	82855819
5	60895827	60985827
5	52125834	52215830
5	74245825	74375825
5	16010109	16110109
5	77835823	77945823
5	58345827	58435827
5	133385691	133505691
5	72375827	72515827
5	169297004	169387004
5	138115689	138225689
5	71655827	71765827
5	135405689	135495689
5	160397007	160507007
5	139539585	139719585
5	66875828	67225828
5	97745704	97845704
5	140949567	141039567
5	10600112	10700112
5	158087008	158177008
5	94335704	94445704
5	11070112	11160112
5	36250102	36430102
5	34500105	34870105
5	138055689	138655689
5	73235825	73325825
5	33530105	33630105
5	73705825	73925825
5	153359560	153459560
5	142389565	143209565
5	142699565	142789565
5	55825827	55935827
5	115535697	115735697
5	63935827	64085827
5	132545692	132635692
5	141979565	142069565
5	28620107	28720107
5	38430102	38930102
5	158277008	158387008
5	145679563	145779563
5	172797003	172957003
5	150819561	151039561
5	76605825	76735825
5	115015697	115125697
5	111865697	111995697
5	77995823	78125823
5	44850102	44950102
5	132665692	132755692
5	64235827	64415827
5	64265827	64365827
5	5290113	5380113
5	77915823	78055823
5	27670107	27840107
5	60865827	60995827
5	158337008	158427008
5	147089563	147229563
5	94165705	94255705
5	72685827	72775825
5	36310102	36410102
5	7820113	7910113
5	124135693	124315693
5	67565828	67655828
5	132755692	133205691
5	4240113	4330113
5	166737005	166837005
5	168257005	168347005
5	169937004	170077004
5	33440106	33940105
5	9990112	10080112
5	170987004	171077004
5	73555825	73725825
5	115715697	115915696
5	135215689	135305689
5	164957005	165047005
5	67755827	67955827
5	76645825	76735825
5	65935828	66025828
5	134875690	134985689
5	131175693	131335693
5	157857008	157947008
5	66015828	66125828
5	174267003	174357003
5	141849565	141979565
5	71085827	71175827
5	151309561	151449561
5	72495827	72765825
5	141209565	141339565
5	134975690	135065689
5	95125704	95325704
5	40380102	40680102
5	57985827	58085827
5	39330102	39430102
5	174347003	174437003
5	5790113	5890113
5	168417005	168557005
5	142449565	142589565
5	142379565	142769565
5	167327005	167427005
5	9130112	9220112
5	61175827	61275827
5	158927008	159367007
5	16870109	16960109
5	141539565	141899565
5	7250113	7340113
5	95935704	96025704
5	124285693	124575693
5	118305695	118765695
5	157377008	157527008
5	1220115	1680115
5	67945827	68045827
5	6070113	6170113
5	72495827	72635827
5	38920102	39060102
5	123835693	123925693
5	167207005	167297005
5	163357006	163447006
5	14260109	14350109
5	167547005	167637005
5	16910109	17200109
5	37660102	37770102
5	31220107	31310107
5	157837008	158097008
5	13710109	13800109
5	169087004	169237004
5	7330113	7520113
5	152889560	152979560
5	168417005	168737004
5	10240112	10330112
5	10360112	10450112
5	31960106	32050106
5	34610105	34700105
5	34650105	34740105
5	34710105	34800105
5	38840102	38930102
5	67675828	67765827
5	73835825	73925825
5	111865697	111955697
5	131255693	131345693
5	141689565	141779565
5	147089563	147179563
5	150819561	150909561
5	151359561	151449561
5	157247008	157337008
5	157877008	157967008
5	158447008	158537008
5	168157005	168247005
5	9680112	9780112
